Q84#4_2,Q84#4_3,Q84#4_1,Q84#4_4,Q84#6_4,Q84#6_1,Q84#6_2,Q84#6_3,Q84#2_1,Q84#2_2,Q84#2_3,Q84#2_4,Q84#3_1,Q84#3_3,Q84#3_2,Q84#3_4,Q84#5_2,Q84#5_1,Q84#5_4,Q84#1_4,Q84#1_3,Q84#1_2,Q84#1_1,Q84#5_3
Comfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Comfortable,Comfortable,Uncomfortable,Comfortable,Comfortable,Uncomfortable,Uncomfortable,Comfortable,Neutral,Comfortable,Neutral,Very Comfortable,Comfortable,Comfortable,Uncomfortable,Uncomfortable,Comfortable,Comfortable,Comfortable
Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable
Neutral,Neutral,Very Comfortable,Comfortable,Comfortable,Very Comfortable,Comfortable,Neutral,Very Comfortable,Comfortable,Neutral,Comfortable,Very Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Very Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Very Comfortable,Neutral
Very Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable
Neutral,Neutral,Very Comfortable,Neutral,Uncomfortable,Very Comfortable,Neutral,Uncomfortable,Very Comfortable,Neutral,Neutral,Neutral,Very Comfortable,Neutral,Neutral,Comfortable,Neutral,Very Comfortable,Neutral,Neutral,Neutral,Neutral,Very Comfortable,Neutral
Neutral,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Neutral,Very Uncomfortable,Very Comfortable,Neutral,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Neutral,Very Uncomfortable,Neutral,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Neutral,Very Comfortable,Very Uncomfortable
Very Comfortable,Neutral,Very Comfortable,Neutral,Neutral,Very Comfortable,Very Comfortable,Neutral,Very Comfortable,Very Comfortable,Neutral,Neutral,Very Comfortable,Neutral,Very Comfortable,Neutral,Very Comfortable,Very Comfortable,Very Comfortable,Neutral,Neutral,Very Comfortable,Very Comfortable,Very Comfortable
Very Uncomfortable,Very Uncomfortable,Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Neutral,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Neutral,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable
